"term","n_sources","n_definitions","sources_str","definitions_str","hierarchy_paths"
"flare genesis experiment","1","1","Global Change Master Directory (GCMD)","APL deployed the Flare Genesis Experiment (FGE) in Antarctica to provide the sharpest view ever obtained of the evolution of activity in the solar atmosphere. FGE is a balloon-borne solar telescope with an 80-cm telescope that will supply 0.2 arcsec images to a vector magnetograph to map photospheric and chromospheric magnetic fields. The experiment will advance basic scientific understanding of the mechanism of solar variability and provide the practical engineering experience needed for building a large solar observatory in space. Flare Genesis will operate in uninterrupted sunlight well above the turbulent layers of the atmosphere at 125,000 feet to take high-resolution photographs. On-board tape recorders holding 90 gigabytes will collect 110,000 images, and the communications system will relay several thousand images to the ground. FGE has completed its test flight and has been successfully integrated with the NSBF package. The pointing system surpasses the design goal of 10 arcsec rms jitter, and H-alpha images from the Target Selector Telescope and limb photos through the main telescope have been recorded. FGE utilizes several innovative APL developed systems, such as the silicon retina with a fast tilt-tip mirror for image motion compensation and APLs FRISC microcontroller. From January 10 to 27, 2000, the Flare Genesis solar telescope observed the Sun while suspended from a balloon in the stratosphere above Antarctica. The goal of the mission was to acquire long time series of high-resolution images and vector magnetograms of the solar photosphere and chromosphere. Images were obtained in the magnetically sensitive Ca I line at 6122 Angstroms and at H-alpha (6563 Angstroms). The FGE data were obtained in the context of Max Millennium Observing Campaign #004, the objective of which was to study the ``Genesis of Solar Flares and Active Filaments/Sigmoids. Flare Genesis obtained about 26,000 usable images on the 8 targeted active regions. A preliminary examination reveals a good sequence on an emerging flux region and data on the M1 flare on January 22, as well as a number of sequences on active filaments. We will present the results of our first analysis efforts. Flare Genesis was supported by NASA grants NAG5-4955, NAG5-5139, and NAG5-8331 and by NSF grant OPP-9615073. The Air Force Office of Scientific Research and the Ballistic Missile Defense Organization supported early development of the Flare Genesis Experiment.","['Flare Genesis Experiment']"
"flare number field","1","0","HELIO Ontology","","['FlareNumberField']"
"flare stars","1","1","Unified Astronomy Thesaurus (UAT)","A member of a class of dwarf stars that undergoes sudden, intense outbursts of light (mean amplitude about 0.5-0.6 mag).","['Flare stars']"
"flares","1","0","AGU Index Terms","","['Flares']"
"flares research at the maximum of solar cycle 22","1","1","Global Change Master Directory (GCMD)","This project involved the multiwavelength/multispacecraft observations of solar flares on October 22, 2001. After a lull in major solar activity that began in September, the Sun reasserted itself with 3 major flares in four days. The most-energetic class, the X-class, occured on the 19 and 22 October, in two regions separated by 90 degrees of longitude.","['Flares Research at the Maximum of Solar Cycle 22']"
"flexible image transport system","1","1","Global Change Master Directory (GCMD)","Flexible Image Transport System (FITS) is an open standard defining a digital file format useful for storage, transmission and processing of data: formatted as multi-dimensional arrays (for example a 2D image), or tables. FITS is the most commonly used digital file format in astronomy. The FITS standard was designed specifically for astronomical data, and includes provisions such as describing photometric and spatial calibration information, together with image origin metadata.","['Flexible Image Transport System']"
"flexible microwave payload version2","1","1","Global Change Master Directory (GCMD)","Flexible Microwave Payload version2 is a dual microwave payload composed of a GNSS-Reflectometer and L-band radiometer with interference detection/mitigation.","['Flexible Microwave Payload version2']"
"glacier/ice caves","1","1","GCMD","Refers to any type of natural cave (most commonly lava tubes or limestone caves) that contains significant amounts of perennial (year-round) ice. At least a portion of the cave must have a temperature below 0 °C (32 °F) all year round, and water must have traveled into the cave’s cold zone.","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL LANDFORMS -> GLACIER/ICE CAVES']"
"global 3-d chemical transport model (ctm) for atmospheric composition driven by meteorological input from the goddard > earth observing system (geos) of the nasa global modeling and assimilation office","1","0","Global Change Master Directory (GCMD)","","['Global 3-D chemical transport model (CTM) for atmospheric composition driven by meteorological input from the Goddard > Earth Observing System (GEOS) of the NASA Global Modeling and Assimilation Office']"
"global assessment of land use dynamics, greenhouse gas emissions and ecosystem services","1","1","Global Change Master Directory (GCMD)","Within the project GLUES (Global Assessment of Land Use Dynamics, Greenhouse Gas Emissions and Ecosystem Services, 2010-2014) the Professorship of Geoinformation Systems of the TU Dresden is implementing a Geodata Infrastructure (GDI). The GLUES GDI is the common data and service platform for the international research program Sustainable Land Management, but it can also be used by other researchers and stakeholders. The GLUES GDI provides global and regional data sets about land use, climate change, economical change, greenhouse gas emissions, biodiversity and ecosystem services. The GDI realizes a network of Web services enabling standardised access to distributed geodata bases and analysis functions.","['Global Assessment of Land Use Dynamics, Greenhouse Gas Emissions and Ecosystem Services']"
"high-altitude imaging wind and rain airborne profiler","1","1","Global Change Master Directory (GCMD)","The High-Altitude Imaging Wind and Rain Airborne Profiler (HIWRAP) is a dual-frequency (Ka- and Ku-band) conical scan system, configured with a nadir viewing antenna on the high-altitude (20 km) NASA ER-2 aircraft. The HIWRAP is able to measure line-of-sight and ocean surface winds at higher spatial and temporal resolution than obtained by current satellites and lower-altitude instrumented aircraft. Group: Instrument_Details Entry_ID: HIWRAP Group: Instrument_Identification Instrument_Category: Earth Remote Sensing Instruments Instrument_Class: Passive Remote Sensing Instrument_Type: Profilers/Sounders Short_Name: HIWRAP Long_Name: High-Altitude Imaging Wind and Rain Airborne Profiler End_Group Group: Associated_Platforms Short_Name: GLOBAL HAWK UAV Short_Name: NASA ER-2 End_Group Online_Resource: http://airbornescience.nasa.gov/image/HIWRAP_instrument Online_Resource: http://har.gsfc.nasa.gov/index.php?section=13 Creation_Date: 2012-04-26 Group: Instrument_Logistics Instrument_Owner: USA/NASA End_Group End_Group","['High-Altitude Imaging Wind and Rain Airborne Profiler']"
"high resolution infrared radiation sounder","1","1","Global Change Master Directory (GCMD)","The High Resolution Infrared Radiation Sounder (HIRS) is an atmospheric sounding instrument that has provided important information on atmospheric temperatures in cloud-free conditions since 1978. The latest version, HIRS/3, will be flown on NOAA-K, -L, -M in the years from 1998. A similar instrument, HIRS/4, will be flown on EUMETSATs Metop-1, -2, -3 from 2005. They will provide high resolution temperature soundings of the global atmosphere in cloud-free conditions of great importance to meteorology and climatology. The instruments will be provided by NOAA, assuring data homogeneity from the two series of operational polar spacecraft. The 20-channel HIRS/3 instrument has an effective ground Field of View (FOV) of about 20 km, while in HIRS/4 the effective FOV will be reduced to about 10 km in order to improve the ability of the instrument to view cloud-free scenes. Additional information available at http://www.eumetsat.de/en/index.html?area=left2.html&body=/en/area2/ cgms/ap10-09.htm&a=284&b=2&c=280&d=200&e=0","['High Resolution Infrared Radiation Sounder']"
"high resolution infrared radiation sounder/2","1","1","Global Change Master Directory (GCMD)","HIRS/1, flown on NIMBUS-6, was an improved version of the 7 channel ITPR (Infrared Temperature Profile Radiometer) on NIMBUS- 5. HIRS/2, an adaptation in turn of HIRS/1, measures radiation in 20 channels - one visible and nineteen infrared, from short wavelength (4.3 micron) to long (15 micron). The instrument is intended to obtain vertical temperature profiles, surface temperature, water vapor profiles and cloud coverage. HIRS/2 is part of the TOVS package (see the sensor reference for TIROS OPER VERTICAL SOUNDER). HIRS/2 channels: WAVELENGTH CHANNELS (microns) PRIMARY USE* -------- ---------- ----------- 1-5 14.95-13.97 Temperature profiles, clouds 6-7 13.64-13.35 Carbon dioxide and water vapor 8 11.11 Surface temperature, clouds 9 9.71 Total ozone concentration 10-12 8.16-6.72 Humidity profiles, detection of thin cirrus clouds 13-17 4.57-4.24 Temperature profiles 18-20 4.00-0.69 Clouds, surface temperatures under partly cloudy skies ----------------------------------------------------------------- * See HIRS/1 for expanded descriptions in corresponding wavelengths. ----------------------------------------------------------------- Entry taken from: Rao,P.K., S.J. Holmes, R.K. Anderson, J.S. Winston, P.E. Lehr, Weather Satellites: Systems, Data, and Environmental Applications, American Meteorological Society, Boston, 1990. ISBN 0-933876-66-1 Cornillon, P. A Guide to Environmental Satellite Data, University of Rhode Island Marine Technical Report 79, 1982. Additional information available at http://www.eumetsat.de/en/index.html?area=left2.html&body=/en/area2/cgms/ap10-09.htm&a=284&b=2&c=280&d=200&e=0 Group: Instrument_Details Entry_ID: HIRS/2 Group: Instrument_Identification Instrument_Category: Earth Remote Sensing Instruments Instrument_Class: Passive Remote Sensing Instrument_Type: Profilers/Sounders Short_Name: HIRS/2 Long_Name: High Resolution Infrared Radiation Sounder/2 End_Group Group: Spectral_Frequency_Information Wavelength_Keyword: Infrared > Thermal Number_Channels: 19 Spectral_Frequency_Coverage_Range: 4 - 15 micrometers End_Group End_Group","['High Resolution Infrared Radiation Sounder -> 2 -> High Resolution Infrared Radiation Sounder/2']"
"high resolution infrared radiation sounder/3","1","1","Global Change Master Directory (GCMD)","The High Resolution Infrared Radiation Sounder (HIRS/3) is a discrete stepping, line-scan instrument designed to measure scene radiance in 20 spectral bands to permit the calculation of the vertical temperature profile from Earths surface to about 40 km. Multispectral data from one visible channel (0.69 micrometers), seven shortwave channels (3.7 to 4.6 micrometers) and twelve longwave channels (6.5 to 15 micrometers) are obtained from a single telescope and a rotating filter wheel containing twenty individual filters. An elliptical scan mirror provides cross-track scanning of 56 increments of 1.8 degrees. The mirror steps rapidly (<35 msec), then holds at each position while the 20 filter segments are sampled. This action takes place each 100 msec. The instantaneous FOV for each channel is approximately 1.4 degrees in the visible and shortwave IR and 1.3 degrees in the longwave IR band which, from an altitude of 833 kilometers, encompasses an area of 20.3 kilometers and 18.9 kilometers in diameter, respectively, at nadir on the Earth. Three detectors are used to sense the radiation. A silicon photodiode at the instrument temperature (nominally 15 degrees C) detects the visible energy. An Indium Antimonide detector and a Mercury Cadmium Telluride detector (mounted on a passive radiator and operating at 100K) sense the shortwave and longwave IR energy. The shortwave and visible optical paths have a common field stop, while the longwave path has an identical but separate field stop. Registration of the fields of view in all channels is largely determined by these stops with secondary effects from detector position. IR Calibration of the HIRS/3 is provided by programmed views of two radiometric targets: a warm target mounted to the instrument base and a view of space. Data from these views provides sensitivity calibrations for each channel every 40 lines (256 seconds), if commanded. Internally generated electronic signals provide calibration and stability monitoring of the amplifier and readout electronics. Data from the instrument is multiplexed into a single data stream controlled by the TIP system of the spacecraft. Information from the radiometric channels and voltage telemetry are converted to 13-bit binary data. Radiometric information is processed to produce the maximum dynamic range such that instrument and digitizing noises are a small portion of the signal output. Each channel is characterized by a noise equivalent radiance (NEΔN) and a set of calibration data that may be used to derive atmospheric temperatures and probable errors. The HIRS/3 instrument is a single package mounted on the Instrument Mounting Platform (IMP) of the NOAA KLM spacecraft. Information obtained from http://www2.ncdc.noaa.gov/docs/klm/html/c3/sec32-1.htm Group: Instrument_Details Entry_ID: HIRS/3 Group: Instrument_Identification Instrument_Category: Earth Remote Sensing Instruments Instrument_Class: Passive Remote Sensing Instrument_Type: Profilers/Sounders Short_Name: HIRS/3 Long_Name: High Resolution Infrared Radiation Sounder/3 End_Group Group: Associated_Platforms Short_Name: NOAA-16 Short_Name: NOAA-15 Short_Name: NOAA-14 End_Group Group: Spectral_Frequency_Information Wavelength_Keyword: Near Infrared Number_Channels: 19 Spectral_Frequency_Coverage_Range: 6.5 to 15 micrometers & 3.7 to 4.6 micrometers End_Group Group: Spectral_Frequency_Information Wavelength_Keyword: Visible Number_Channels: 1 Spectral_Frequency_Coverage_Range: 0.69 micrometers End_Group Online_Resource: http://www2.ncdc.noaa.gov/docs/klm/html/c3/sec32-1.htm Creation_Date: 2008-07-21 Group: Instrument_Logistics Instrument_Owner: NOAA/NASA End_Group End_Group","['High Resolution Infrared Radiation Sounder -> 3 -> High Resolution Infrared Radiation Sounder/3']"
